pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
gr,Digital Epigraphy Encoding and Information Management,aphrodisias,tr,ajeno
gr,Human-in-the-Loop Crowdsourced Annotation Dataset for Ukrainian Folk Art with Reproducible Jupyter Notebooks,ukraine,pl;ua,ajeno
gr,Participatory Citizen Curation in the VAST Project Framework,human rights,za,ajeno
gr,Human-in-the-Loop Crowdsourced Annotation Dataset for Ukrainian Folk Art with Reproducible Jupyter Notebooks,ukraine,pl;ua,ajeno
gr,Human-in-the-Loop Crowdsourced Annotation Dataset for Ukrainian Folk Art with Reproducible Jupyter Notebooks,ukraine,pl;ua,ajeno
gr,Human-in-the-Loop Crowdsourced Annotation Dataset for Ukrainian Folk Art with Reproducible Jupyter Notebooks,ukraine,pl;ua,ajeno
gr,ENORASI Wearable System for Inclusive Cultural Tourism based on Artificial Intelligence,athens,gr,propio
gr,ENORASI Wearable System for Inclusive Cultural Tourism based on Artificial Intelligence,athens,gr,propio
in,Classification of Cultural Heritage Sites Using Transfer Learning,delhi,in,propio
in,"Deep Learning-Based 3-D Model for the Cultural Heritage Sites in the State of Gujarat, India",gujarat,in,propio
in,Role of Chatbots in Cultural Heritage Tourism: An Empirical Study on Ancient Forts and Palaces,palaces,de,ajeno
in,Heritage Identification of Monument Using Deep Learning,fortresses,co,ajeno
in,Automating the identification of frost-related features in archaeological micromorphology using deep learning,an evolving,sa,ajeno
in,Automating the identification of frost-related features in archaeological micromorphology using deep learning,an evolving,sa,ajeno
in,Role of Artificial Intelligence in Ajanta Caves &amp; Hampi,ajanta caves,in,propio
in,"Exploring the Potential of Artificial Intelligence in Museum Libraries: Opportunities, Challenges, and Future Directions",delhi,in,propio
in,Flood Susceptibility Assessment of Kaziranga National Park Using Ensemble Machine Learning Algorithms and Sentinel-1 SAR Data,kaziranga national park,in,propio
in,Dynamic Phrase Generation for Detection of Idioms of Gujarati Language using Diacritics and Suffix-based Rules,gujarat,in,propio
in,Preserving Heritage Palaces: A Deep Learning CNN-SVM Hybrid Approach for Multi-classification,palaces,de,ajeno
in,Artificial Intelligence: ChatGPT to Artificial Intelligence Washing,cartagena,co,ajeno
in,Ensemble Deep Learning Using faster RCNN Model and Fuzzy rule System for Health Monitoring of Heritage Castles,castles,gb;gh,ajeno
in,Geo Landmark Recognition and Detection,castles,gb;gh,ajeno
in,Unraveling Sundarbans’ erosion: how machine learning maps climate change impacts,western regions,gh,propio
in,ResNet50V2 for Global Landmark Categorization: A Deep Transfer Learning and Residual Mapping Approach,statue of liberty,us,propio
in,High-Resolution Mangrove Land Cover Mapping in the Sundarbans Using U-Net and Multi-Source Satellite Data,the sundarbans,bd,propio
in,Microplastic Contamination in High-Altitude Soils of Sagarmatha National Park: A Spatial Assessment with Deep Learning-Supported Detection,sagarmatha national park,np,ajeno
in,"A hybrid geospatial framework for flood hazard zonation using AHP and machine learning: Case study of Kaziranga Tiger Reserve, India",kaziranga,in,propio
in,Leveraging Artificial Intelligence as a Tool to improve health services and Modernize Ayurveda Treatment – A perspective,gujarat,in,propio
in,"Over tourism in India: Causes, Effects, and Effective AI based Management Approaches",jaipur,in,propio
in,India’s exceptional plant-oriented translational sector – An ayush exports case report,delhi,in,propio
in,Global Landmark Classification Using Enhanced ResNet50V2: A Deep Learning Approach,statue of liberty,us,propio
in,“The Role of Artificial Intelligence in Personalizing Tourism Marketing Strategies in Uttar Pradesh”,taj mahal,in,propio
in,Application of Artificial Intelligence for the Protection of Natural Resources in the Indian Sundarbans: Possibilities and Challenges,the sundarbans,bd,propio
in,Analysis and Prediction of Woman's Dress Categories from Fashion Trends,delhi,in,propio
